
CommandType     Name                                               Version    Source
Function        Get-MgDeviceAppManagementAndroidManagedAppProtect… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementDefaultManagedAppProtect… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtection   2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtection   2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtection   2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionC… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionC… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionC… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionD… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionD… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementiOSManagedAppProtectionD… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppPolicy          2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppPolicy          2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppPolicy          2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppPolicyCount     2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppPolicyCount     2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppPolicyCount     2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistration    2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistration    2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistration    2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationAp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationAp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationAp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationAp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationAp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationAp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationCo… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationCo… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationCo… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationIn… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationIn… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationIn… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationIn… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationIn… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationIn… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationOp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationOp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationOp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationOp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationOp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationOp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationUs… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationUs… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppRegistrationUs… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppStatus          2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppStatus          2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppStatus          2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppStatusCount     2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppStatusCount     2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedAppStatusCount     2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBook              2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBook              2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBook              2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookAssignment    2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookAssignment    2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookAssignment    2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookAssignmentCo… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookAssignmentCo… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookAssignmentCo… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookCount         2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookCount         2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookCount         2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookDeviceState   2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookDeviceState   2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookDeviceState   2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookDeviceStateC… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookDeviceStateC… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookDeviceStateC… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookInstallSumma… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookInstallSumma… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookInstallSumma… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementManagedEBookUserStateSum… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMdmWindowsInformationPro… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileApp                 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileApp                 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileApp                 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp  2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp  2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp  2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidLobApp… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsAndroidStoreA… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobApp      2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobApp      2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobApp      2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppAssi… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppAssi… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppAssi… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppAssi… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppAssi… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppAssi… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCate… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCate… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCate… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCate… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCate… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCate… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsiOSLobAppCont… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreApp     2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreApp     2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreApp     2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppAss… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppAss… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppAss… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppAss… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppAss… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppAss… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppCat… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppCat… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppCat… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppCat… 2.31.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppCat… 2.30.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoStoreAppCat… 2.32.0     Microsoft.Graph.Devices.CorporateManagement
Function        Get-MgDeviceAppManagementMobileAppAsIoVppApp       2.30.0     Microsoft.Graph.Devices.CorporateManagement
