
CommandType     Name                                               Version    Source
Function        Add-MgGroupSiteListContentTypeCopyFromContentType… 2.32.0     Microsoft.Graph.Sites
Function        Add-MgGroupTeamChannelAllMember                    2.32.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamChannelAllMember                    2.31.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamChannelAllMember                    2.30.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamChannelMember                       2.32.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamChannelMember                       2.31.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamChannelMember                       2.30.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamMember                              2.30.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamMember                              2.32.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamMember                              2.31.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamPrimaryChannelAllMember             2.31.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamPrimaryChannelAllMember             2.30.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamPrimaryChannelAllMember             2.32.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamPrimaryChannelMember                2.32.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamPrimaryChannelMember                2.31.0     Microsoft.Graph.Teams
Function        Add-MgGroupTeamPrimaryChannelMember                2.30.0     Microsoft.Graph.Teams
Function        Add-MgGroupToLifecyclePolicy                       2.30.0     Microsoft.Graph.Groups
Function        Add-MgGroupToLifecyclePolicy                       2.32.0     Microsoft.Graph.Groups
Function        Add-MgGroupToLifecyclePolicy                       2.31.0     Microsoft.Graph.Groups
Function        Add-MgIdentityGovernanceAccessReviewDefinitionIns… 2.32.0     Microsoft.Graph.Identity.Governance
Function        Add-MgIdentityGovernanceAccessReviewDefinitionIns… 2.30.0     Microsoft.Graph.Identity.Governance
Function        Add-MgIdentityGovernanceAccessReviewDefinitionIns… 2.31.0     Microsoft.Graph.Identity.Governance
Function        Add-MgSecurityCaseEdiscoveryCaseCustodianHold      2.32.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseCustodianHold      2.30.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseCustodianHold      2.31.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseNoncustodialDataS… 2.31.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseNoncustodialDataS… 2.32.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseNoncustodialDataS… 2.30.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseReviewSetQueryTag  2.31.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseReviewSetQueryTag  2.30.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseReviewSetQueryTag  2.32.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseReviewSetToReview… 2.32.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseReviewSetToReview… 2.30.0     Microsoft.Graph.Security
Function        Add-MgSecurityCaseEdiscoveryCaseReviewSetToReview… 2.31.0     Microsoft.Graph.Security
Function        Add-MgServicePrincipalKey                          2.31.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalKey                          2.30.0     Microsoft.Graph.Applications
